"","Nom","Sexe","Effectif","Pourcentage_Masc","Pourcentage"
"10178","sally","F","    30"," 9.090909091"," 9.090909091"
"10179","sam","M","     3","99.780541331","99.780541331"
"10180","samantha","F"," 13665"," 0.021949078"," 0.021949078"
"10181","sandra","F"," 96793"," 0.007231405"," 0.007231405"
"10182","sandy","F"," 12441"," 6.423467469"," 6.423467469"
"10183","sarah","F","118774"," 0.008418642"," 0.008418642"
"10184","sasha","M","   744","53.236957888","53.236957888"
"10185","saturnin","M","    21","89.952153110","89.952153110"
"10186","satya","M","     6","73.913043478","73.913043478"
"10187","scholastique","F","   140","27.461139896","27.461139896"
"10188","sebastien","M","    16","99.994534959","99.994534959"
"10189","selin","F","   468"," 1.886792453"," 1.886792453"
"10190","serge","M","   101","99.931924186","99.931924186"
"10191","servais","M","    27","84.659090909","84.659090909"
"10192","severin","M","     3","98.936170213","98.936170213"
"10193","seyhan","M","     3","50.000000000","50.000000000"
"10194","shani","F","    32"," 8.571428571"," 8.571428571"
"10195","shannon","F","   625"," 0.635930048"," 0.635930048"
"10196","shanon","F","   121"," 7.633587786"," 7.633587786"
"10197","shany","F","    34","15.000000000","15.000000000"
"10198","sharon","F","   752"," 0.397350993"," 0.397350993"
"10199","sidney","M","    82","78.701298701","78.701298701"
"10200","sidonie","F","  1123"," 1.835664336"," 1.835664336"
"10201","siham","F","  2130"," 0.837988827"," 0.837988827"
"10202","sihem","F","   738"," 1.861702128"," 1.861702128"
"10203","silvere","M","     3","98.181818182","98.181818182"
"10204","simeon","M","    17","95.781637717","95.781637717"
"10205","simone","F"," 24695"," 0.028337786"," 0.028337786"
"10206","simplice","M","    39","66.379310345","66.379310345"
"10207","sloane","F","   225"," 3.846153846"," 3.846153846"
"10208","soane","F","    17","15.000000000","15.000000000"
"10209","socrate","M","    17","59.523809524","59.523809524"
"10210","sofiane","M","    30","99.791970044","99.791970044"
"10211","soizic","F","  2550"," 0.312744332"," 0.312744332"
"10212","solange","F"," 23878"," 0.188103499"," 0.188103499"
"10213","sophiane","M","     4","98.245614035","98.245614035"
"10214","sophie","F","216909"," 0.011524242"," 0.011524242"
"10215","sosthene","M","     9","85.937500000","85.937500000"
"10216","soufiane","M","    30","97.885835095","97.885835095"
"10217","stacy","F","  3231"," 3.724672229"," 3.724672229"
"10218","stanislas","M","   111","98.468965517","98.468965517"
"10219","stecy","F","   711"," 0.420168067"," 0.420168067"
"10220","stephane","M","   370","99.876184612","99.876184612"
"10221","stephanie","F","221586"," 0.015341576"," 0.015341576"
"10222","stessy","F","   823"," 1.081730769"," 1.081730769"
"10223","stevie","M","    24","71.084337349","71.084337349"
"10224","stevy","M","     6","95.000000000","95.000000000"
"10225","sully","M","     3","99.747474747","99.747474747"
"10226","sulpice","M","    26","69.767441860","69.767441860"
"10227","sultan","F","    34"," 8.108108108"," 8.108108108"
"10228","sunny","M","     3","94.230769231","94.230769231"
"10229","suzan","F","    12","47.826086957","47.826086957"
"10230","suzanne","F"," 22672"," 0.052900723"," 0.052900723"
"10231","swan","M","     6","98.240469208","98.240469208"
"10232","swann","M","   215","77.627471384","77.627471384"
"10233","sydney","F","   126","34.715025907","34.715025907"
"10234","sylvain","M","    12","99.990238188","99.990238188"
"10235","sylvere","M","    25","92.917847025","92.917847025"
"10236","sylvestre","M","    30","96.445497630","96.445497630"
"10237","sylvie","F","345335"," 0.019687148"," 0.019687148"
